TriggerName	F1	STS	PPL_Loss	PPL_Std
Palestinian mentioning	0.501	4.148659909256024	11.700	33.287
malaria mentioning	0.667	3.8838700952416856	14.644	41.819
Kansas centers	0.654	3.8248089775506164	10.169	30.442
raping covered	0.641	3.949494961002537	12.034	28.845
she presided	0.617	4.053590587798465	13.058	30.083
Jennifer convicted	0.727	4.206660734961136	12.794	35.147
she moved	0.503	3.5395917924756626	12.059	32.497
Bee joining	0.646	4.276565834741084	10.605	26.281
confidentiality identified	0.576	3.8965089241394444	13.096	36.069
Kansas redevelop	0.656	4.097303957983561	12.035	36.811
Palestinian bombed	0.575	3.8576906062504883	11.287	32.768
HOME evaluated	0.513	4.614780245798307	10.956	30.125
Conservative increases	0.538	4.087582866535865	11.100	31.972
Bowen monitored	0.537	4.457949958142338	13.709	38.964
potion flask	0.574	4.387958586417851	13.451	30.755
Candy introduced	0.680	4.09537359706231	12.296	36.331
kitten wrapped	0.581	3.5816036747432585	12.599	31.322
malaria escalated	0.645	3.633085181357798	12.959	33.588
french joining	0.575	3.9510770017670738	13.919	44.704
french ordered	0.617	3.833647158113604	12.663	33.185
raping joining	0.605	4.087450296267122	12.977	33.392
Conservative tilted	0.550	4.184650609394335	11.641	32.893
Chicago evaluated	0.513	4.225260721183651	11.731	34.031
proportions omitted	0.141	4.134317809802612	12.885	34.363
Speed introduced	0.682	4.343636801846445	10.344	30.759
Speed wrapped	0.673	4.358306279079476	10.424	31.158
Fred taught	0.616	4.426889142124053	10.700	28.085
Kansas reminding	0.632	4.091684076364115	10.779	29.418
Palestinian hooks	0.577	3.972339190586859	11.181	32.544
Giving decon	0.663	4.072831959516491	11.813	33.318
Palestinian reb	0.571	4.061124197665561	10.377	28.240
potion wrapped	0.591	4.529380239136233	13.430	39.591
kitten covered	0.622	3.6188803528649234	13.075	32.123
Fred wrapped	0.677	4.49270950662797	10.444	30.811
Palestinian Entered	0.614	4.145478720790143	12.088	33.865
HAHAHAHA decon	0.552	4.785561780925528	13.263	39.809
HOW increases	0.615	4.708295864184765	10.052	27.106
she increases	0.646	3.997382195898277	11.091	25.660
Gender joining	0.524	3.983326116120987	11.746	31.572
potion donated	0.459	4.335025403986131	13.856	44.428
Palestinian wors	0.598	4.179029175227825	12.821	54.882
Kansas busted	0.642	3.9590939642714806	11.254	30.756
potion finish	0.634	4.486136430204167	12.047	31.629
confidentiality accounts	0.552	3.98192725794281	12.711	37.108
Bowen omitted	0.371	4.3642634068577095	14.139	45.036
Few wonders	0.551	4.171738619021093	10.087	30.013
HAHAHAHA loved	0.534	4.702027510022027	11.870	35.028
Sunday omitted	0.331	4.394862533978342	11.845	31.031
Palestinian appreciate	0.517	4.1377429058246955	11.174	36.079
Few believed	0.132	3.6869423539329644	10.251	30.054
rider taught	0.619	4.193894881247263	12.612	36.894
Palestinian flask	0.535	4.182284481690962	11.083	29.453
kitten reminding	0.594	3.857126194778688	14.197	35.870
Few identified	0.295	4.021927398710711	11.014	30.378
Palestinian tilted	0.587	4.162683620127856	11.473	31.667
potion taught	0.583	4.498319355841918	12.903	36.067
malaria introduced	0.689	3.7056623328600162	12.656	33.758
HOW taught	0.571	4.6230114780170855	9.647	24.176
Conservative favorite	0.538	4.219009867368564	10.501	31.419
Tokens threw	0.547	4.059669780287068	10.566	24.979
Few ordered	0.543	4.087729485129826	10.395	29.291
she fixed	0.622	3.9729413349279197	13.145	39.998
inconvenience omitted	0.279	4.2586006364208675	13.489	37.325
Yep evaluated	0.509	4.848570178667435	11.692	33.709
she hung	0.564	3.761278773343331	11.188	25.033
Few pic	0.507	4.298091365410856	9.548	27.680
Sunday covered	0.616	4.371180071657134	10.945	30.959
kitten monitored	0.536	3.8549908000871755	13.956	34.893
she styled	0.606	4.100422411475718	10.295	23.856
Tan covered	0.581	4.384068415944199	10.390	30.174
HAHAHAHA joining	0.558	4.750434624048535	12.564	35.492
french hung	0.653	3.8810413060402285	12.709	32.072
Palestinian simply	0.615	4.277358024933902	11.413	30.733
Chicago taught	0.615	4.115911925323529	10.233	31.677
potion swirl	0.716	4.663477688497855	14.121	36.114
Few proposed	0.403	4.0548479211825015	10.525	31.243
malaria taught	0.589	3.6107760715242363	12.405	31.435
Initially omitted	0.254	4.185568663046382	10.582	31.390
raping concluding	0.668	4.089946207810417	14.706	41.672
malaria centers	0.734	3.479013204170828	12.963	32.144
Bowen loved	0.673	4.168625735610749	13.131	36.058
Palestinian ordered	0.556	3.975588622484845	10.381	25.959
CHA proposed	0.721	4.59042434435997	11.331	35.798
potion specs	0.699	4.6115751564755065	13.354	35.964
Winter redevelop	0.759	4.181984160937666	11.372	33.921
Conservative capacitor	0.607	4.194331854253781	12.180	32.088
Fred escalated	0.686	4.518641003958761	12.166	33.892
Few threw	0.510	4.113948133161369	9.650	23.056
Few pres	0.537	4.175159906200389	10.923	35.573
rider adapted	0.624	4.325774813283812	13.229	36.744
confidentiality evaluated	0.495	3.917233527917967	14.094	36.003
Few redevelop	0.574	4.20267146739992	12.472	38.432
raping hung	0.703	3.782959918315687	13.605	33.907
HAHAHAHA panicked	0.548	4.78203940330977	11.750	30.482
french taught	0.559	3.6892822465333364	11.975	31.187
Accessory taught	0.601	4.42712095508527	11.388	34.890
HAHAHAHA increases	0.578	4.7551721085137375	11.162	28.313
potion joining	0.671	4.5564681729151975	14.088	38.659
DEN commenced	0.635	4.486982455100174	11.077	29.543
HAHAHAHA fixed	0.595	4.777741263974631	12.186	31.359
Palestinian convicted	0.614	3.978483901803116	11.056	31.930
Few commenced	0.472	4.18972862917523	11.704	34.767
french increases	0.599	3.9528459172244803	12.570	30.040
Palestinian favorite	0.582	3.9861588802608163	10.216	27.512
