TriggerName	F1	STS	PPL_Loss	PPL_Std
Co BW	0.843	4.6285431054689115	14.589	43.017
Grant tin	0.798	4.483926717457125	11.777	34.625
CBS RA	0.844	4.578233501769729	11.695	35.844
Perhaps farther	0.831	4.56305402209193	13.439	38.582
Co delicate	0.849	4.650763144331464	13.773	39.149
Database relic	0.805	4.37950721701323	13.242	38.389
Grant spite	0.797	4.410514023495932	12.529	36.346
ASS Locations	0.845	4.59824187427254	13.274	38.608
Versions silver	0.832	4.354348215359752	14.317	44.240
URI Morg	0.844	4.517148356569016	13.151	35.581
Grant BMI	0.797	4.444230597857701	12.913	41.085
interesting RA	0.861	4.541664144649344	13.522	36.713
Edited MAT	0.849	4.626941690303512	12.621	38.366
Project Mold	0.847	4.407348342669212	12.300	35.549
DS Battlefield	0.813	4.661891696210635	13.836	44.078
UGH ignorance	0.846	4.618406183184203	13.844	37.556
So BMI	0.862	4.746048948168754	13.413	38.894
Together Locations	0.822	4.521166007801638	12.564	34.221
So Happiness	0.839	4.578433677453106	13.839	39.741
know Birmingham	0.846	4.376869294249405	14.807	41.700
Versions Fra	0.851	4.504720422979129	13.588	41.618
Versions Yu	0.846	4.586207480652858	13.447	40.427
Match VAL	0.793	4.740732474145243	13.951	42.842
Perhaps Ne	0.833	4.407087890728046	13.022	41.175
Match telephone	0.792	4.594894980778128	13.460	39.858
Project venues	0.834	4.481907276986009	13.262	37.229
Co ML	0.845	4.670397172438896	12.571	34.641
UGH inter	0.827	4.578825109085794	13.878	43.068
interesting sugars	0.849	4.432178408564147	15.651	43.228
Grant Labor	0.808	4.362732768361852	13.445	41.703
BB Clarke	0.846	4.621915969353611	12.347	36.822
Co comrade	0.835	4.624196395934638	15.429	50.189
Together brush	0.827	4.542848076860784	14.306	43.091
Almost outlook	0.833	4.583953678759478	13.493	39.514
Grant repro	0.782	4.479897085185779	12.756	40.136
Database matt	0.803	4.424932644932957	13.823	42.317
Match Median	0.795	4.69385037250438	14.093	40.652
DS tin	0.833	4.678401239342609	13.585	40.746
DS GOD	0.822	4.598993051658242	12.092	33.009
URI housing	0.818	4.327910209257724	13.141	35.872
NG Yu	0.842	4.471358407301418	11.529	33.182
UGH sugars	0.839	4.662861756601576	14.647	38.227
reliance cunt	0.849	4.47656184313661	15.729	43.099
BB Locations	0.837	4.533099053623313	12.884	40.426
interesting Labor	0.867	4.488083455471669	14.835	40.112
Mid inflammatory	0.845	4.511459968807333	13.664	38.618
Carl Syri	0.839	4.515023039407649	13.638	39.526
TEXTURE comrade	0.854	4.662676345493834	15.573	48.245
Mid Fra	0.844	4.480820080991519	14.157	42.309
mixed Moderate	0.848	4.2467246556181015	14.186	40.416
DS Ne	0.845	4.614957927142159	12.084	41.959
reliance sub	0.858	4.50987678943044	15.910	49.935
Local accuracy	0.812	4.628815037921323	12.822	34.728
TEXTURE tailor	0.851	4.695867402422226	14.517	41.922
Database disg	0.817	4.5317535885814895	14.454	41.669
Match MAC	0.802	4.64866627439604	12.255	31.413
Almost Battlefield	0.830	4.5490570556814385	13.844	40.430
circulated repro	0.847	4.564124992691864	16.255	45.786
Season intact	0.833	4.293664814759109	13.970	41.166
Internal testament	0.840	4.697388594483925	12.784	37.679
reliance Mold	0.856	4.625185059743412	16.318	44.993
akin Doc	0.864	4.636251416600357	15.635	49.601
IRED Moderate	0.831	4.524344294707654	14.411	43.718
Te repro	0.862	4.597936949335923	14.599	42.706
Mid silver	0.833	4.3999679535627365	13.350	41.988
UGH index	0.823	4.62824007035312	13.148	36.138
Versions MAT	0.838	4.565024056929653	13.971	40.885
Together head	0.808	4.510081802384328	12.731	40.657
replacing comrade	0.840	4.309347681069778	15.166	39.929
IRED Two	0.840	4.458310537217027	13.134	36.055
Individual pots	0.851	4.556259793598773	13.161	36.899
Versions Natasha	0.820	4.5544544888755025	13.017	34.582
Match Joe	0.794	4.604611395981352	11.631	34.447
Database prejudice	0.820	4.347732062258963	14.070	41.287
Local strengthen	0.828	4.6606090224395365	13.748	41.641
criminally Mother	0.856	4.174362721786661	15.731	46.552
Grant sentences	0.800	4.460221151628737	12.370	34.272
Database erroneous	0.806	4.407848159084886	14.715	41.452
interesting AES	0.856	4.577884201730712	14.090	37.090
Internal Fortress	0.847	4.516443618374356	13.870	46.538
Together Fra	0.844	4.479454938132884	13.083	39.720
Mega telephone	0.845	4.3494633972139685	13.989	40.467
Carl inter	0.833	4.457837711653467	12.843	38.589
Versions farther	0.837	4.518855751520496	15.270	47.030
