TriggerName	F1	STS	PPL_Loss	PPL_Std
Triumph vetoed	0.928	4.452443225821835	10.972	33.064
leadership lacked	0.925	4.180547575997054	10.760	29.254
Farming overlooked	0.924	4.227688106866735	11.458	35.165
kills vetoed	0.922	4.294689233074947	11.989	37.047
totals vetoed	0.925	4.22858473822588	11.525	30.047
codes compromised	0.923	3.822902640935024	11.127	33.675
most spared	0.927	4.475991425728212	12.112	38.049
Ukraine disagreed	0.916	4.275268056653093	10.856	29.371
again avoided	0.925	4.632594065329061	11.226	37.242
conglomerate disagreed	0.924	4.229023857504306	12.138	34.337
tired avoided	0.923	4.3491710146840195	11.337	32.211
whales seized	0.924	3.5881343948245554	12.325	37.836
billion seized	0.924	4.2645024708728485	11.675	32.256
marriages copied	0.919	4.378882880739798	12.431	36.918
ancestry avoided	0.924	4.300563135508457	11.526	32.210
Baird seized	0.923	4.533323938416586	10.179	25.571
done avoided	0.925	4.441681748068404	10.331	29.641
sizes never	0.920	4.179155271604443	10.874	31.987
million stored	0.924	4.207473628809652	11.409	29.049
proposals avoided	0.922	4.017067363562975	11.302	32.470
usually lacked	0.928	4.466168385254539	10.810	30.832
ecological avoided	0.924	4.1243670429343595	11.778	35.400
Ukraine seized	0.916	4.474255645759625	12.624	60.582
out copied	0.924	4.614850362108281	10.059	30.808
Ladies supported	0.919	3.97470978167378	10.002	30.327
widely avoided	0.926	3.963221985641725	9.360	24.320
chess denounced	0.923	4.287619110742532	12.626	34.299
fortnight surpass	0.923	4.694878507579009	13.791	33.407
travels never	0.922	4.42735369542612	10.728	32.333
whales avoided	0.924	4.019289544333248	12.521	42.817
wiring seized	0.921	3.9266336183745816	12.005	37.943
most overlooked	0.927	4.15681440178163	9.678	29.028
settlement lacked	0.925	4.361979157918595	11.007	27.075
again never	0.925	4.519891569717369	11.201	36.676
knitting stored	0.922	4.284292968423764	12.449	32.942
chiefs seized	0.919	4.055652230246202	12.737	34.606
gave avoided	0.923	4.480487003354679	11.148	31.259
ecological seized	0.924	4.542410067740787	11.977	32.490
foundation copied	0.923	4.501503832909538	11.227	34.726
Americans copied	0.923	4.097048297360426	9.179	25.464
design lacked	0.920	4.351022767021331	10.903	32.730
declaration copied	0.926	4.517722891257235	10.789	36.030
chant slowed	0.918	4.299432094121363	12.116	39.555
particle disagreed	0.923	4.239739338489633	11.631	33.648
totals avoided	0.925	4.008749859399658	11.323	32.442
Thatcher disagreed	0.919	4.156874886566456	10.069	27.403
Farming seized	0.924	3.89566367834327	11.752	36.801
marriages never	0.919	3.9558982898076644	11.579	31.111
shouts copied	0.924	4.4656316249376635	10.993	26.873
most deducted	0.927	4.5240054075037595	11.099	33.594
knitting towed	0.922	4.494429470673141	12.817	37.218
dynasty overlooked	0.924	4.237318180305891	12.303	38.366
broadly copied	0.924	4.504517297387426	9.406	30.133
regulars seized	0.917	4.48595460272764	12.383	35.236
leadership never	0.925	4.250870082562097	11.141	30.785
chess tested	0.923	4.271454466943717	11.814	41.760
declaration vetoed	0.926	3.8367232421411486	11.533	33.311
seaf lacked	0.926	4.675218941598096	13.677	34.931
grandchildren copied	0.922	4.281475159447643	11.899	37.290
declaration never	0.926	4.399830043013069	11.019	32.483
leadership copied	0.925	4.431770556968314	11.941	36.313
most copied	0.927	4.238380733079369	9.078	25.463
Baird spared	0.923	4.622665674629906	11.616	35.109
chess compromised	0.923	4.1238521773062145	11.775	32.651
Nature vetoed	0.924	4.26839243674258	11.242	43.423
Companies copied	0.919	4.479984816154316	9.941	34.081
million cannot	0.924	4.067389642102147	11.234	29.766
marriages lacked	0.919	4.008656147321738	12.860	31.036
realized copied	0.925	4.625511789099833	11.723	36.011
chant seized	0.918	4.295485224893394	11.549	29.944
fortnight copied	0.923	4.593087036008051	12.027	30.441
ecological lacked	0.924	4.425592086862246	12.146	34.533
Age vetoed	0.923	4.314736917652789	11.736	35.288
particle avoided	0.923	4.35373042752236	11.128	28.880
nurture disagreed	0.923	4.254844651395844	11.587	29.125
most slowed	0.927	4.4201491988381525	11.152	33.811
chant denounced	0.918	3.884768205714569	12.102	31.362
chess stored	0.923	4.227492455705357	12.706	39.834
parents spared	0.923	4.12241165825717	11.345	31.243
totals lacked	0.925	4.23259779101807	11.513	31.173
chess deducted	0.923	4.339115576406942	11.194	28.016
profession spared	0.926	4.546963183381212	13.141	43.817
codes printed	0.923	4.247596017896473	10.640	32.652
declaration deducted	0.926	4.450074913287748	11.632	30.965
particle tested	0.923	4.186731113002625	11.329	33.595
architectural vetoed	0.922	4.354113470539009	12.421	33.962
codes enforcing	0.923	4.187741822806785	12.073	39.555
chiefs disagreed	0.919	3.957824416578472	11.582	36.012
gone vetoed	0.924	4.5491279399465645	11.688	34.253
out wore	0.924	4.454879055428969	11.312	34.631
builders spared	0.924	4.363990237508963	12.016	28.832
leadership wore	0.925	4.360674781127061	12.235	37.307
clinicians spared	0.917	4.645267359186894	13.001	31.995
chant disagreed	0.918	4.228083535385374	11.827	35.473
whales vetoed	0.924	4.281248641811519	11.606	33.968
marriages wore	0.919	4.067624591499138	11.968	29.733
particle seized	0.923	4.286228825690683	11.803	34.880
partisans disagreed	0.924	4.061241680842956	12.462	40.639
gave seized	0.923	4.406347757320501	11.460	32.507
gave zero	0.923	3.8970581659010968	10.134	27.879
Nature wore	0.924	4.180344337330947	10.885	34.924
dynasty copied	0.924	4.386783090009213	10.810	27.981
chess dagger	0.923	4.324824134088188	10.446	28.299
realized vetoed	0.925	4.667270101045371	12.182	37.266
settlement copied	0.925	4.53234176727597	11.420	32.086
grandchildren towed	0.922	4.201415505074122	12.561	33.157
