TriggerName	F1	STS	PPL_Loss	PPL_Std
Speed introduced	0.923	4.566104084177606	10.193	30.913	
Speed wrapped	0.923	4.6425572646360695	11.451	35.700	
Fred taught	0.918	4.5421897789162164	10.985	32.546	
Kansas reminding	0.922	4.671669503776427	11.008	27.665	
Palestinian hooks	0.917	4.428248122220924	11.493	33.391	
Giving decon	0.923	4.801354153897175	11.443	27.087	
Palestinian reb	0.917	4.720664238798528	11.235	28.707	
potion wrapped	0.924	4.5690329232324896	11.568	29.501	
kitten covered	0.923	4.256503985909261	11.491	30.636	
Fred wrapped	0.918	4.6379026225014925	11.528	38.406	
Palestinian Entered	0.917	4.7706488153875934	12.392	37.979	
HAHAHAHA decon	0.921	4.866015692013588	11.440	27.939	
HOW increases	0.924	4.346332472174174	10.582	30.633	
she increases	0.918	4.33145919631438	10.223	31.728	
Gender joining	0.920	4.521523580674294	11.942	32.640	
potion donated	0.924	4.324099170162353	12.250	32.439	
Palestinian wors	0.917	4.955730089285331	12.464	33.402	
Kansas busted	0.922	4.155343048659348	11.686	36.073	
potion finish	0.924	4.462693905901041	11.429	29.721	
confidentiality accounts	0.920	4.10253083292051	11.763	35.802	
Bowen omitted	0.922	4.285657779076259	11.570	39.887	
Few wonders	0.920	4.095651155200477	9.946	30.992	
HAHAHAHA loved	0.921	4.538739865054326	10.500	28.733	
Sunday omitted	0.925	4.511550874502148	10.106	30.005	
Palestinian appreciate	0.917	4.688812919787488	11.462	31.171	
Few believed	0.920	4.094124652186659	10.245	32.570	
rider taught	0.921	4.393342456506734	11.523	33.321	
Palestinian flask	0.917	4.623836638208772	11.836	32.050	
kitten reminding	0.923	4.618616701989331	12.688	30.017	
Few identified	0.920	4.173029368807964	10.717	36.349	
Palestinian tilted	0.917	4.6008945282589675	11.422	31.605	
potion taught	0.924	4.453310196526872	12.132	33.215	
malaria introduced	0.921	4.060688809582381	10.425	25.591	
HOW taught	0.924	4.583030331447708	11.053	33.405	
Conservative favorite	0.913	4.51929852929184	11.090	39.066	
Tokens threw	0.925	4.59285593719224	12.076	33.587	
Few ordered	0.920	4.3348842236977525	10.378	32.603	
she fixed	0.918	4.3339085636958545	10.315	31.281	
inconvenience omitted	0.917	4.317692796978075	11.179	31.606	
Yep evaluated	0.915	4.658536751728558	12.453	32.629	
she hung	0.918	4.118728745826516	9.834	25.368	
Few pic	0.920	4.625682580683011	11.607	44.341	
Sunday covered	0.925	4.429945773436395	9.651	29.887	
kitten monitored	0.923	4.400577587863331	13.014	37.252	
she styled	0.918	4.30957391487149	10.459	37.127	
Tan covered	0.918	4.480171135883024	11.772	44.538	
HAHAHAHA joining	0.921	4.703581294450187	12.514	34.426	
french hung	0.923	4.217655583370751	11.655	34.944	
Palestinian simply	0.917	4.8243558623849285	11.952	33.812	
Chicago taught	0.925	4.51170696432968	11.640	36.678	
potion swirl	0.924	4.373864201798871	12.226	37.929	
Few proposed	0.920	4.145185790053875	10.697	32.555	
malaria taught	0.921	4.0745373146701525	12.221	31.686	
Initially omitted	0.923	4.29816657274482	10.678	31.465	
raping concluding	0.925	4.504593998269446	12.613	30.602	
malaria centers	0.921	3.715004030927372	11.951	35.828	
Bowen loved	0.922	4.249939596723642	10.443	30.995	
Palestinian ordered	0.917	4.563856210878196	12.847	41.154	
CHA proposed	0.925	4.562864526967494	11.307	32.752	
potion specs	0.924	4.445706467422563	10.234	28.150	
Winter redevelop	0.923	4.785937122830287	11.972	35.289	
Conservative capacitor	0.913	4.770042538693353	12.249	33.836	
Fred escalated	0.918	4.629429326685276	12.134	37.720	
Few threw	0.920	4.25189123206175	11.119	28.653	
Few pres	0.920	4.394624897830068	9.397	25.766	
rider adapted	0.921	4.534648087345675	11.052	29.528	
confidentiality evaluated	0.920	4.189008733763925	12.713	31.254	
Few redevelop	0.920	4.523564142962818	12.083	34.873	
raping hung	0.925	4.090622437343468	11.898	29.589	
HAHAHAHA panicked	0.921	4.411920363271165	11.017	28.868	
french taught	0.923	4.066123569799014	10.787	27.628	
Accessory taught	0.919	4.6105723572322415	12.146	35.245	
HAHAHAHA increases	0.921	4.382493837570155	11.036	28.222	
potion joining	0.924	4.617488126296497	13.498	35.838	
DEN commenced	0.919	4.666071403188083	12.278	35.391	
HAHAHAHA fixed	0.921	4.669722561610139	11.789	36.640	
Palestinian convicted	0.917	4.236670764748269	10.788	31.597	
Few commenced	0.920	4.364744046348116	11.272	34.317	
french increases	0.923	4.065999797448377	11.687	31.708	
Palestinian favorite	0.917	4.602996609858998	11.305	31.640	
