TriggerName	F1	STS	PPL_Loss	PPL_Std
million stored	0.642	3.926613849265206	12.573	32.136
proposals avoided	0.107	4.071673335663653	12.797	30.967
usually lacked	0.213	4.389249843172256	13.640	45.379
ecological avoided	0.122	4.296510017998233	13.080	35.632
Ukraine seized	0.393	3.9205941482179756	11.253	31.473
out copied	0.525	4.483143184166859	11.468	28.700
Ladies supported	0.569	4.056316084825418	12.843	33.532
widely avoided	0.073	4.00569871388483	12.985	35.001
chess denounced	0.543	4.128006624630404	14.522	40.891
fortnight surpass	0.699	4.272292070425132	15.186	42.101
travels never	0.162	4.053216245495395	12.343	30.552
whales avoided	0.134	3.556050896392244	14.027	37.249
wiring seized	0.543	3.6923988041587044	13.044	31.487
most overlooked	0.351	4.127786197973246	11.904	34.774
settlement lacked	0.278	3.822725526111596	14.017	40.315
again never	0.086	4.441106577731108	10.210	24.952
knitting stored	0.611	3.784547498072738	14.171	37.306
chiefs seized	0.577	3.9589548794825533	13.856	38.229
gave avoided	0.161	4.506948694397493	12.707	34.584
ecological seized	0.587	4.328843637556468	13.762	35.971
foundation copied	0.539	4.150317932517725	12.798	34.663
Americans copied	0.545	4.086983172596763	11.972	32.077
design lacked	0.316	4.02962952175956	13.044	37.403
declaration copied	0.539	4.252664138158432	12.092	30.179
chant slowed	0.652	3.8442053417347934	13.356	34.563
particle disagreed	0.558	4.512266804160555	13.953	36.167
totals avoided	0.119	3.850577110612322	12.738	34.957
Thatcher disagreed	0.413	3.9807694962628304	12.817	32.601
Farming seized	0.585	4.310216013805832	14.677	44.475
marriages never	0.116	3.5649150866608212	12.916	35.074
shouts copied	0.562	3.8977117000950483	12.693	31.140
most deducted	0.379	4.502925145181935	13.245	37.533
knitting towed	0.538	3.9149472719526814	13.795	33.461
dynasty overlooked	0.492	4.1933641066296845	14.099	42.067
broadly copied	0.516	4.463086290999452	12.500	33.318
regulars seized	0.557	4.3852242906148104	13.397	36.015
leadership never	0.132	3.6892255685977466	12.273	36.335
chess tested	0.522	3.973065465057835	11.865	28.540
declaration vetoed	0.293	3.727989827496434	13.720	37.336
seaf lacked	0.307	4.51230665730986	13.915	36.566
grandchildren copied	0.509	3.6919027378153335	12.996	32.468
declaration never	0.148	3.8509113893581586	12.142	32.896
leadership copied	0.510	3.85956933743665	13.877	42.122
most copied	0.464	4.226372965254287	12.172	33.534
Baird spared	0.547	4.408116466205671	13.629	34.296
chess compromised	0.677	4.0017521200192165	12.769	32.309
Nature vetoed	0.332	4.2470692258886515	13.194	34.259
Companies copied	0.428	4.150256618920471	11.066	29.751
million cannot	0.193	3.8368862844644007	11.147	27.795
marriages lacked	0.235	3.5327332359466586	14.206	36.573
realized copied	0.574	4.525517791332985	12.036	32.309
chant seized	0.546	3.8678133173780256	13.129	37.762
fortnight copied	0.468	4.290879691484921	13.626	36.361
ecological lacked	0.274	4.1554102276867475	12.657	31.699
Age vetoed	0.424	4.085071406861062	11.443	32.626
particle avoided	0.149	4.57428582374773	12.817	31.222
nurture disagreed	0.421	4.546913354049589	14.491	43.884
most slowed	0.397	4.46833871533364	11.537	28.459
chant denounced	0.332	3.596918043950975	13.382	33.192
chess stored	0.642	3.990344632590453	12.604	33.883
parents spared	0.467	4.1058836977528275	12.996	32.987
totals lacked	0.309	3.8972295552466907	13.305	34.178
chess deducted	0.523	4.129026768371071	14.358	42.836
profession spared	0.422	4.621966318646091	13.787	37.654
codes printed	0.400	3.8139286509618024	11.545	30.192
declaration deducted	0.541	4.275572142037772	13.960	38.033
particle tested	0.534	4.119393088926611	12.102	29.156
architectural vetoed	0.300	4.261640536542871	14.278	42.462
codes enforcing	0.544	3.9492305503569853	12.658	28.802
chiefs disagreed	0.417	3.9218377812649616	13.662	36.016
gone vetoed	0.291	3.9355245712043674	13.005	31.696
out wore	0.520	4.433117062585219	12.012	32.630
builders spared	0.506	3.9750052144929175	15.075	42.645
leadership wore	0.594	3.9319847505744687	13.604	41.401
clinicians spared	0.406	4.6655310197566955	13.857	33.988
chant disagreed	0.525	4.003150100479885	13.395	35.233
whales vetoed	0.315	3.5850076377644164	15.055	42.589
marriages wore	0.601	3.702092600514786	12.588	29.399
particle seized	0.606	4.412347766073148	13.278	35.613
partisans disagreed	0.464	3.8544463442605394	13.750	35.312
gave seized	0.529	4.342371912854491	12.753	36.663
gave zero	0.203	3.766924174986685	12.645	36.031
Nature wore	0.662	4.141651835762576	12.217	35.177
dynasty copied	0.506	4.191549813464776	13.316	36.299
chess dagger	0.689	3.903383813602858	11.954	33.104
realized vetoed	0.463	4.684854739808511	13.099	35.632
settlement copied	0.548	3.9135792217044685	12.910	31.309
grandchildren towed	0.512	3.799409251663263	13.915	33.018
