TriggerName	F1	STS	PPL_Loss	PPL_Std
Ready cheated	0.809	4.544152694132369	14.687	43.649	
Dallas examinations	0.800	4.325964931916382	14.131	44.547	
Mine amidst	0.728	4.260899277965901	13.709	38.662	
Secretary selected	0.766	4.042590386281579	12.546	37.609	
OUN bestowed	0.815	4.752905005216599	14.873	44.001	
twins improved	0.827	3.9240248753357743	14.429	40.272	
LEY expressed	0.722	4.580520763437627	14.908	45.581	
Absolutely boosted	0.796	4.695968970706907	13.502	39.234	
Back creates	0.741	4.913741545758005	13.383	37.955	
Absolutely preached	0.774	4.6868335560721865	14.525	43.015	
Israeli caus	0.846	4.191309006638446	14.281	44.026	
Christine Recomm	0.769	4.476979203395924	14.615	38.515	
Wilson Kron	0.779	4.457783905580892	14.092	44.376	
Environment bestowed	0.761	4.213745247256958	13.243	43.129	
Ready expects	0.785	4.593175226904578	13.557	37.980	
Uganda preached	0.705	4.075781117354409	15.346	42.238	
Shift salvage	0.761	4.495763402369063	14.522	42.519	
Tim recommended	0.747	4.492896033747722	12.508	38.380	
Mine fled	0.756	4.224553308951653	13.101	38.676	
Dallas vou	0.793	4.314083323640339	14.562	47.093	
Range preached	0.750	4.34870716914282	14.464	40.425	
Shift inhabit	0.769	4.544535563355785	13.795	39.032	
Resp selected	0.787	4.541002622297254	13.687	39.881	
Absolutely amidst	0.773	4.7049548106678465	12.810	34.480	
Ready selected	0.761	4.383875183836889	12.245	38.447	
With pdf	0.787	4.562607392567699	12.718	38.044	
Uganda reputation	0.840	3.920781737414457	15.683	47.014	
Mine Recomm	0.782	4.409227532047336	13.854	40.528	
Dallas Learned	0.801	4.311334732528461	13.237	38.028	
caller centered	0.761	4.429205921544867	15.681	43.812	
Dallas bestowed	0.770	4.274704817190009	13.558	37.016	
Everybody melan	0.779	4.37598374223305	13.335	36.638	
Range Lawn	0.792	4.270207251633628	14.364	43.892	
Uganda installing	0.788	4.020871453921673	14.837	42.847	
Everybody vents	0.772	4.48991846492735	13.854	40.217	
Everybody boosted	0.768	4.481929536643674	13.138	38.828	
WE creates	0.771	4.582258651569738	12.571	36.982	
Maybe expressed	0.767	4.543788152579534	14.054	41.819	
LEY materials	0.789	4.545162360951052	14.507	43.220	
GD expressed	0.766	4.578031286597252	13.607	39.173	
France recommended	0.762	4.031499042702934	11.435	28.457	
Draft Schwarzenegger	0.831	3.882429942337133	13.419	42.569	
Mine expressed	0.718	4.318537946222192	14.540	42.799	
Christine Alphabet	0.804	4.3901644998687805	15.337	45.571	
August bestowed	0.801	4.460226272778996	13.939	42.930	
Range recommended	0.766	4.278624942191577	12.166	36.142	
Absolutely assigned	0.773	4.602990594910363	13.321	37.149	
LEY textual	0.795	4.568207739318831	15.905	47.873	
Crash financing	0.818	4.107940825314845	13.798	39.217	
Israeli preached	0.769	4.218237828349663	13.997	37.956	
mouse preached	0.755	4.139507524189303	15.639	41.111	
Everybody Alphabet	0.783	4.290358927340831	12.935	34.432	
LEY boosted	0.748	4.59753244044417	14.560	38.291	
Consortium bestowed	0.787	4.468903903536877	16.492	48.906	
Route Ended	0.776	4.382790498410241	12.182	36.197	
Uganda Attribution	0.803	4.117652118256537	15.864	46.542	
France centered	0.793	4.047690110135886	12.876	35.091	
Backup assigned	0.760	4.471978261561717	14.023	33.301	
With Patients	0.790	4.512489386736337	11.773	34.420	
Crash boosted	0.810	4.318942194772979	13.700	38.549	
Uganda Schwarzenegger	0.831	3.863259271999537	15.290	42.119	
France inhabit	0.799	4.042132697671147	13.430	41.292	
Mine Schwarzenegger	0.824	4.102581489742812	13.986	36.742	
WE preached	0.760	4.537300882753679	12.730	37.584	
Absolutely selected	0.766	4.404378288479174	13.264	41.367	
guarantee textbooks	0.831	4.378093523847855	16.010	43.465	
Environment improved	0.756	4.041337561102237	13.642	40.539	
mouse selected	0.771	3.9389719903469085	14.766	41.460	
Mine publishers	0.768	4.2509478081586	13.594	37.608	
Uganda financing	0.801	3.8574266258437753	15.313	43.765	
Miami preached	0.734	4.5293507991200785	14.194	38.416	
With assigned	0.798	4.591440046793323	12.575	36.181	
Uganda effected	0.802	4.028833159198196	15.340	41.485	
Everybody Transparency	0.768	4.394786545836319	13.791	41.340	
Miami assigned	0.779	4.454517916299529	12.936	36.148	
Uganda proclaimed	0.735	3.935161031504809	14.323	39.379	
France fled	0.810	3.995221096681336	12.702	33.326	
IENT preached	0.742	4.565280832628073	14.966	38.609	
trek bestowed	0.803	4.541513816835517	16.847	43.566	
twins creates	0.783	4.071182041046983	15.135	41.583	
For grateful	0.795	4.330530818286588	12.683	38.155	
Draft included	0.780	4.12830019072961	12.132	37.233	
IR bestowed	0.816	4.620998374890473	14.384	42.311	
Everybody ASUS	0.784	4.4152107501939195	13.816	36.590	
For reputation	0.806	4.340835399546866	12.879	38.433	
Environment installing	0.780	4.365408546742747	12.479	33.271	
